code,country,Electronic Transactions,Consumer Protection,Privacy and Data Protection,Cybercrime,Indirect Taxation,Africa,Latin America and Caribbean,Asia and Oceania,Developing countries,Developed countries,Least developed countries,Landlocked developing countries,Small island developing states
004,Afghanistan,Legislation,No Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,1,1,0
008,Albania,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
012,Algeria,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,0,0,0
020,Andorra,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
024,Angola,Legislation,No Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,1,0,0
028,Antigua and Barbuda,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
032,Argentina,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
051,Armenia,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
036,Australia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
040,Austria,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
031,Azerbaijan,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
044,Bahamas,Legislation,Draft Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,1
048,Bahrain,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
050,Bangladesh,Legislation,Legislation,Draft Legislation,Legislation,Legislation,0,0,1,1,0,1,0,0
052,Barbados,Legislation,No Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,1
112,Belarus,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
056,Belgium,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
084,Belize,Legislation,No Data,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
204,Benin,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,1,0,0
064,Bhutan,Legislation,No Data,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
068,Bolivia (Plurinational State of),Legislation,No Legislation,Legislation,No Legislation,Legislation,0,1,0,1,0,0,1,0
070,Bosnia and Herzegovina,Legislation,No Data,Legislation,Legislation,No Legislation,0,0,0,0,1,0,0,0
072,Botswana,Legislation,No Data,Legislation,Legislation,No Legislation,1,0,0,1,0,0,1,0
076,Brazil,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
096,Brunei Darussalam,Legislation,Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
100,Bulgaria,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
854,Burkina Faso,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,1,1,0
108,Burundi,Draft Legislation,No Legislation,No Legislation,Legislation,No Legislation,1,0,0,1,0,1,1,0
116,Cambodia,Legislation,Legislation,Legislation,Draft Legislation,Legislation,0,0,1,1,0,1,0,0
120,Cameroon,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,0,0,0
124,Canada,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
132,Cabo Verde,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,0,0,1
140,Central African Republic,No Legislation,No Data,No Legislation,No Legislation,No Legislation,1,0,0,1,0,1,1,0
148,Chad,Legislation,No Data,Legislation,Legislation,No Legislation,1,0,0,1,0,1,1,0
152,Chile,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
156,China,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
170,Colombia,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
174,Comoros,No Legislation,No Legislation,No Legislation,No Legislation,No Legislation,1,0,0,1,0,1,0,1
178,Congo,No Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,0,0,0
188,Costa Rica,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
384,Côte d'Ivoire,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,0,0,0
191,Croatia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
192,Cuba,Draft Legislation,No Legislation,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
196,Cyprus,Legislation,No Legislation,Legislation,Legislation,No Legislation,0,0,1,0,1,0,0,0
408,Democratic People's Republic of Korea,Legislation,Legislation,No Data,Legislation,No Legislation,0,0,1,1,0,0,0,0
180,Democratic Republic of the Congo,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,1,0,0
208,Denmark,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
262,Djibouti,No Legislation,No Legislation,No Legislation,Legislation,No Legislation,1,0,0,1,0,1,0,0
212,Dominica,Legislation,No Legislation,No Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
214,Dominican Republic,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,1
218,Ecuador,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
818,Egypt,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,0,0,0
222,El Salvador,Legislation,Legislation,Draft Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,0
226,Equatorial Guinea,No Legislation,No Legislation,Legislation,No Legislation,No Legislation,1,0,0,1,0,0,0,0
232,Eritrea,No Legislation,No Data,No Legislation,No Legislation,No Legislation,1,0,0,1,0,1,0,0
233,Estonia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
748,Eswatini,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,0,1,0
231,Ethiopia,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,1,1,0
242,Fiji,Legislation,No Legislation,No Legislation,Legislation,Legislation,0,0,1,1,0,0,0,1
246,Finland,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
250,France,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
266,Gabon,Legislation,No Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,0,0,0
270,Gambia,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,1,0,0
268,Georgia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
276,Germany,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
288,Ghana,Legislation,No Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,0,0,0
300,Greece,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,0,0,1,0,0,0
308,Grenada,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
320,Guatemala,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,0,1,0,0,0,0
324,Guinea,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,0,1,0,1,0,0
624,Guinea-Bissau,Legislation,No Legislation,No Legislation,No Legislation,No Legislation,1,0,0,1,0,1,0,1
328,Guyana,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
332,Haiti,Legislation,No Legislation,No Legislation,No Legislation,No Legislation,0,1,0,1,0,1,0,1
336,Holy See,No Data,No Data,No Data,No Data,No Legislation,0,0,0,0,1,0,0,0
340,Honduras,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,0
348,Hungary,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
352,Iceland,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,0,0,1,0,0,0
356,India,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
360,Indonesia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
364,Iran (Islamic Republic of),Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
368,Iraq,Legislation,No Legislation,No Legislation,Draft Legislation,No Legislation,0,0,1,1,0,0,0,0
372,Ireland,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
376,Israel,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
380,Italy,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,0,0,1,0,0,0
388,Jamaica,Legislation,No Legislation,Legislation,Legislation,No Legislation,0,1,0,1,0,0,0,1
392,Japan,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
400,Jordan,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
398,Kazakhstan,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,1,0
404,Kenya,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,0,1,0,0,0,0
296,Kiribati,Legislation,Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,1,0,1
414,Kuwait,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
417,Kyrgyzstan,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,1,0
418,Lao People's Democratic Republic,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,1,1,0
428,Latvia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
422,Lebanon,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
426,Lesotho,Draft Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,1,1,0
430,Liberia,Legislation,No Data,No Legislation,Draft Legislation,No Legislation,1,0,1,1,0,1,0,0
434,Libya,Legislation,No Legislation,No Legislation,Legislation,No Legislation,1,0,1,1,0,0,0,0
438,Liechtenstein,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
440,Lithuania,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
442,Luxembourg,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
450,Madagascar,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,1,0,0
454,Malawi,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,1,1,0
458,Malaysia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
462,Maldives,Legislation,No Legislation,Draft Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,1
466,Mali,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,1,1,0
470,Malta,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
584,Marshall Islands,No Legislation,No Data,No Legislation,No Legislation,No Legislation,0,0,1,1,0,0,0,1
478,Mauritania,Legislation,No Data,Legislation,Legislation,No Legislation,1,0,1,1,0,1,0,0
480,Mauritius,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,1,1,0,0,0,1
484,Mexico,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,1,1,0,0,0,0
583,Micronesia (Federated States of),No Legislation,No Legislation,No Legislation,No Legislation,No Legislation,0,0,1,1,0,0,0,1
492,Monaco,Legislation,No Legislation,Legislation,Legislation,No Legislation,0,0,1,0,1,0,0,0
496,Mongolia,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,1,0
499,Montenegro,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
504,Morocco,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,0,0,0
508,Mozambique,Legislation,Legislation,No Legislation,Legislation,No Legislation,1,0,1,1,0,1,0,0
104,Myanmar,Legislation,Legislation,No Legislation,Draft Legislation,No Legislation,0,0,1,1,0,1,0,0
516,Namibia,Legislation,No Legislation,Draft Legislation,Draft Legislation,No Legislation,1,0,1,1,0,0,0,0
520,Nauru,No Legislation,No Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,1
524,Nepal,Legislation,Draft Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,1,1,0
528,Kingdom Of the Netherlands,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
554,New Zealand,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
558,Nicaragua,Legislation,No Legislation,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,0
562,Niger,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,1,1,0
566,Nigeria,Legislation,No Legislation,Legislation,Legislation,Legislation,1,0,1,1,0,0,0,0
807,North Macedonia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,1,0
578,Norway,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
512,Oman,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
586,Pakistan,Legislation,No Legislation,Draft Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
585,Palau,No Legislation,No Legislation,No Legislation,Legislation,Legislation,0,0,1,1,0,0,0,1
591,Panama,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,0
598,Papua New Guinea,Legislation,No Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,1
600,Paraguay,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,1,1,0,0,1,0
604,Peru,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,0
608,Philippines,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
616,Poland,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
620,Portugal,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
634,Qatar,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
410,Republic of Korea,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
498,Republic of Moldova,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,1,0
642,Romania,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,0,1,0,0,0
643,Russian Federation,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
646,Rwanda,Legislation,No Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,1,1,0
659,Saint Kitts and Nevis,Legislation,Draft Legislation,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,1
662,Saint Lucia,Legislation,No Legislation,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,1
670,Saint Vincent and the Grenadines,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,1
882,Samoa,Legislation,No Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,1
674,San Marino,Legislation,No Data,Legislation,Legislation,No Legislation,0,0,1,0,1,0,0,0
678,Sao Tome and Principe,No Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,0,0,1
682,Saudi Arabia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
686,Senegal,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,1,0,0
688,Serbia,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
690,Seychelles,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,0,0,1
694,Sierra Leone,Legislation,No Legislation,No Legislation,Legislation,Legislation,1,0,1,1,0,1,0,0
702,Singapore,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,1
703,Slovakia,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
705,Slovenia,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
090,Solomon Islands,Legislation,No Legislation,No Legislation,No Legislation,No Legislation,0,0,1,1,0,1,0,1
706,Somalia,No Legislation,No Legislation,Legislation,No Legislation,No Legislation,1,0,1,1,0,1,0,0
710,South Africa,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,1,1,0,0,0,0
728,South Sudan,No Legislation,No Legislation,No Legislation,Legislation,No Legislation,1,0,1,1,0,1,1,0
724,Spain,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
144,Sri Lanka,Legislation,No Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
729,Sudan,Legislation,No Legislation,No Legislation,Legislation,No Legislation,1,0,1,1,0,1,0,0
740,Suriname,Legislation,Legislation,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,1
752,Sweden,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
756,Switzerland,Legislation,No Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
760,Syrian Arab Republic,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,0
762,Tajikistan,Legislation,No Data,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
764,Thailand,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
626,Timor-Leste,Legislation,Legislation,No Legislation,Legislation,No Legislation,0,0,1,1,0,1,0,1
768,Togo,Legislation,No Data,Legislation,Legislation,No Legislation,1,0,1,1,0,1,0,0
776,Tonga,Legislation,No Data,No Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,1
780,Trinidad and Tobago,Legislation,No Data,Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,1
788,Tunisia,Legislation,Legislation,Legislation,Legislation,No Legislation,1,0,1,1,0,0,0,0
792,Türkiye,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
795,Turkmenistan,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,1,0,0,1,0
798,Tuvalu,No Legislation,No Legislation,No Legislation,No Legislation,No Legislation,0,0,1,1,0,1,0,1
800,Uganda,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,1,1,0,1,1,0
804,Ukraine,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
784,United Arab Emirates,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
826,United Kingdom of Great Britain and Northern Ireland,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
834,United Republic of Tanzania,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,1,1,0,1,0,0
840,United States of America,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,0,1,0,0,0
858,Uruguay,Legislation,Legislation,Legislation,Legislation,Legislation,0,1,1,1,0,0,0,0
860,Uzbekistan,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,1,0
548,Vanuatu,Legislation,No Data,No Legislation,Legislation,No Legislation,0,0,1,1,0,0,0,1
862,Venezuela (Bolivarian Republic of),Legislation,No Data,No Legislation,Legislation,No Legislation,0,1,1,1,0,0,0,0
704,Viet Nam,Legislation,Legislation,Legislation,Legislation,Legislation,0,0,1,1,0,0,0,0
887,Yemen,Legislation,Legislation,Legislation,No Legislation,No Legislation,0,0,1,1,0,1,0,0
894,Zambia,Legislation,Legislation,Legislation,Legislation,Legislation,1,0,1,1,0,1,1,0
716,Zimbabwe,Draft Legislation,Legislation,Legislation,Legislation,Legislation,1,0,1,1,0,0,1,0
275,State of Palestine,Legislation,No Legislation,No Legislation,No Legislation,No Legislation,0,0,1,1,0,0,0,0
203,Czechia,Legislation,Legislation,Legislation,Legislation,No Legislation,0,0,1,0,1,0,0,0